age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,deposit
42,admin.,single,secondary,no,-247,yes,yes,telephone,21,oct,1,166,1,other,yes
33,services,married,secondary,no,3444,yes,no,telephone,21,oct,1,91,4,failure,yes
53,retired,married,tertiary,no,2269,no,no,cellular,17,nov,2,150,1,success,yes
37,technician,married,secondary,no,5115,yes,no,cellular,17,nov,2,171,4,failure,yes
45,entrepreneur,married,secondary,no,781,no,yes,cellular,17,nov,2,126,2,failure,yes
34,management,single,tertiary,no,1494,yes,no,cellular,18,nov,1,182,1,other,yes
46,management,married,tertiary,no,0,no,no,cellular,18,nov,2,110,3,other,yes
43,management,married,tertiary,no,1429,yes,no,cellular,19,nov,1,198,2,other,yes
33,technician,single,tertiary,no,149,yes,no,cellular,19,nov,2,182,1,other,yes
46,unemployed,divorced,secondary,no,3354,yes,no,cellular,19,nov,1,174,1,success,yes
38,blue-collar,married,primary,no,190,yes,no,telephone,19,nov,1,175,1,other,yes
40,management,married,tertiary,no,3352,yes,no,cellular,19,nov,2,27,1,success,yes
32,technician,married,tertiary,no,4654,yes,yes,cellular,20,nov,1,128,2,failure,yes
33,technician,married,tertiary,no,6843,no,no,cellular,20,nov,1,100,10,other,yes
30,blue-collar,married,secondary,no,501,yes,yes,cellular,20,nov,1,177,1,failure,yes
46,technician,married,tertiary,no,0,no,no,cellular,20,nov,1,167,1,failure,yes
43,blue-collar,married,secondary,no,699,yes,yes,cellular,20,nov,2,122,2,other,yes
38,entrepreneur,married,tertiary,no,1110,yes,no,cellular,20,nov,2,183,2,failure,yes
37,technician,divorced,secondary,no,3068,yes,yes,cellular,20,nov,2,195,1,other,yes
32,services,married,secondary,no,983,yes,no,cellular,20,nov,2,133,1,failure,yes
31,unemployed,married,secondary,no,314,yes,no,cellular,20,nov,3,178,7,failure,yes
50,blue-collar,married,primary,no,12519,yes,no,cellular,21,nov,3,34,1,failure,yes
47,technician,married,secondary,no,0,no,no,cellular,21,nov,1,10,1,failure,yes
59,management,married,tertiary,no,7049,no,no,cellular,21,nov,1,163,2,failure,yes
31,management,married,secondary,no,8629,yes,no,cellular,21,nov,1,184,2,failure,yes
53,blue-collar,married,secondary,no,1777,yes,no,cellular,21,nov,5,154,1,failure,yes
31,management,married,tertiary,no,4148,yes,no,cellular,21,nov,3,99,9,other,yes
47,technician,married,secondary,no,834,no,yes,cellular,21,nov,1,133,2,other,yes
31,unemployed,single,primary,no,163,no,no,cellular,30,jan,2,2,1,other,yes
40,technician,single,tertiary,no,1646,yes,no,cellular,2,feb,1,242,2,failure,yes
44,unemployed,married,secondary,no,0,yes,no,cellular,2,feb,1,272,1,failure,yes
43,admin.,single,secondary,no,-247,yes,yes,cellular,2,feb,2,76,4,failure,yes
37,management,married,tertiary,no,4089,yes,no,cellular,2,feb,2,174,4,other,yes
54,technician,divorced,secondary,no,2156,yes,no,cellular,3,feb,1,195,4,failure,yes
32,management,single,tertiary,no,2360,no,no,cellular,3,feb,2,160,5,other,yes
31,management,married,tertiary,no,1331,no,no,cellular,3,feb,2,90,1,success,yes
28,self-employed,married,tertiary,no,0,yes,no,cellular,4,feb,3,196,4,failure,yes
32,admin.,single,secondary,no,678,yes,no,cellular,4,feb,1,246,4,failure,yes
31,management,married,tertiary,no,141,yes,no,cellular,4,feb,2,238,7,other,yes
41,self-employed,single,tertiary,no,-94,yes,no,cellular,4,feb,1,203,1,failure,yes
31,technician,single,tertiary,no,1109,no,no,cellular,5,feb,1,167,2,failure,yes
26,entrepreneur,single,secondary,no,101,yes,no,cellular,5,feb,1,268,1,failure,yes
26,entrepreneur,single,tertiary,no,725,no,no,cellular,5,feb,2,189,29,other,yes
31,management,single,tertiary,no,12857,yes,no,cellular,6,feb,1,92,1,success,yes
34,management,married,tertiary,no,0,no,no,cellular,6,feb,3,9,1,other,yes
33,blue-collar,single,tertiary,no,700,no,no,cellular,9,feb,1,88,1,success,yes
34,admin.,married,secondary,no,0,yes,no,cellular,10,feb,1,85,1,failure,yes
40,blue-collar,married,secondary,no,5060,no,no,cellular,10,feb,2,93,1,success,yes
37,admin.,married,secondary,no,1314,yes,no,cellular,12,feb,4,210,3,failure,yes
33,management,single,tertiary,no,3552,no,no,cellular,13,feb,2,85,3,failure,yes
44,admin.,divorced,secondary,no,397,yes,yes,cellular,16,feb,1,257,1,other,yes
30,management,single,tertiary,no,5561,yes,no,cellular,27,feb,1,100,1,success,yes
39,blue-collar,single,primary,no,581,yes,no,cellular,27,feb,1,270,1,other,yes
60,retired,married,secondary,no,404,no,no,cellular,5,mar,2,196,2,failure,yes
31,management,divorced,tertiary,no,883,yes,no,cellular,5,mar,2,106,1,failure,yes
44,management,single,tertiary,no,483,no,no,cellular,6,mar,2,199,6,success,yes
37,unemployed,single,tertiary,no,1316,yes,no,cellular,10,mar,2,112,3,failure,yes
37,services,single,secondary,no,1045,no,no,cellular,17,mar,2,41,1,failure,yes
30,management,married,tertiary,no,8089,yes,no,cellular,18,mar,2,294,2,failure,yes
34,technician,married,secondary,no,390,yes,no,cellular,27,mar,2,231,2,failure,yes
46,admin.,married,secondary,no,-522,yes,no,cellular,27,mar,3,239,13,other,yes
50,management,married,tertiary,no,414,yes,no,cellular,3,apr,1,302,3,failure,yes
55,blue-collar,divorced,secondary,no,1613,yes,no,cellular,3,apr,1,270,3,failure,yes
41,self-employed,married,secondary,no,3123,yes,no,cellular,3,apr,2,135,2,failure,yes
33,technician,single,tertiary,no,127,yes,no,cellular,6,apr,2,222,17,failure,yes
37,admin.,married,secondary,no,1207,yes,no,telephone,6,apr,2,138,2,success,yes
36,blue-collar,single,secondary,no,1822,yes,no,cellular,8,apr,1,323,1,other,yes
48,management,married,secondary,no,4415,yes,no,cellular,8,apr,3,141,7,failure,yes
32,technician,married,secondary,no,303,yes,no,cellular,8,apr,1,267,4,failure,yes
33,management,single,tertiary,no,318,yes,no,cellular,8,apr,1,141,3,other,yes
30,services,single,secondary,no,1268,yes,no,cellular,8,apr,4,320,8,other,yes
38,blue-collar,single,secondary,no,2580,yes,no,cellular,8,apr,2,264,3,failure,yes
41,services,married,secondary,no,803,yes,no,cellular,9,apr,4,316,3,failure,yes
33,technician,single,secondary,no,719,yes,no,cellular,9,apr,2,316,6,failure,yes
